filename, language, JSON, PHP, YAML, Ignore, CSS, JavaScript, HTML (Twig), Less, XML, SCSS, comment, blank, total
composer.json, JSON, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 83
config\bootstrap.php, PHP, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 24
config\bundles.php, PHP, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
config\packages\cache.yaml, YAML, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 13, 5, 20
config\packages\dev\debug.yaml, YAML, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 1, 5
config\packages\dev\easy_log_handler.yaml, YAML, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 11, 2, 17
config\packages\dev\monolog.yaml, YAML, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 8, 1, 20
config\packages\dev\swiftmailer.yaml, YAML, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 5
config\packages\dev\web_profiler.yaml, YAML, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
config\packages\doctrine.yaml, YAML, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 3, 27
config\packages\doctrine_migrations.yaml, YAML, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 1, 6
config\packages\framework.yaml, YAML, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 3, 19
config\packages\prod\doctrine.yaml, YAML, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 3, 33
config\packages\prod\monolog.yaml, YAML, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
config\packages\prod\routing.yaml, YAML, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
config\packages\routing.yaml, YAML, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
config\packages\security.yaml, YAML, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 10, 4, 30
config\packages\sensio_framework_extra.yaml, YAML, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
config\packages\swiftmailer.yaml, YAML, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
config\packages\test\framework.yaml, YAML, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
config\packages\test\monolog.yaml, YAML, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
config\packages\test\swiftmailer.yaml, YAML, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
config\packages\test\validator.yaml, YAML, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
config\packages\test\web_profiler.yaml, YAML, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
config\packages\translation.yaml, YAML, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
config\packages\twig.yaml, YAML, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
config\packages\validator.yaml, YAML, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 2, 9
config\routes.yaml, YAML, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 4
config\routes\annotations.yaml, YAML, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
config\routes\dev\twig.yaml, YAML, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
config\routes\dev\web_profiler.yaml, YAML, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
config\services.yaml, YAML, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11, 6, 28
public\css\admin\adminMain.css, CSS, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 6, 11, 63
public\css\bootstrap\bootstrap-grid.css, CSS, 0, 0, 0, 0, 3511, 0, 0, 0, 0, 0, 7, 201, 3719
public\css\bootstrap\bootstrap-grid.min.css, CSS, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
public\css\bootstrap\bootstrap-reboot.css, CSS, 0, 0, 0, 0, 267, 0, 0, 0, 0, 0, 8, 56, 331
public\css\bootstrap\bootstrap-reboot.min.css, CSS, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
public\css\bootstrap\bootstrap.css, CSS, 0, 0, 0, 0, 8832, 0, 0, 0, 0, 0, 7, 1199, 10038
public\css\bootstrap\bootstrap.min.css, CSS, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 6, 0, 7
